DATE,YTM1p,YTM2p,YTM5p,YTM10p,YTM25p
1999-12-29,,,,,
1999-12-30,0.0,-3.2206119162639936e-05,-3.164556962025444e-05,-1.5625000000001332e-05,-2.286764621936055e-05
1999-12-31,8.431703204047292e-05,8.077544426494222e-05,9.523809523809712e-05,9.389671361502483e-05,7.575340517577579e-05
2000-01-03,0.00018394648829431315,0.00022435897435897357,0.00022012578616352086,0.00020155038759689825,0.00018083572835891014
2000-01-04,-0.00014778325123152692,-0.00012539184952978122,-0.0001538461538461533,-0.00013677811550151907,-0.00013256048167347546
2000-01-05,8.333333333333303e-05,0.00012698412698412654,0.00017187499999999912,0.0002003081664098616,0.00016463600297323186
2000-01-06,-3.3057851239668426e-05,-4.702194357366851e-05,-7.680491551459223e-05,-7.552870090634434e-05,-0.00010992892433041467
2000-01-07,-4.975124378109541e-05,-6.299212598425253e-05,-6.191950464396246e-05,-7.610350076103556e-05,-5.1950871534023893e-05
2000-01-10,0.00011666666666666714,0.00011093502377179209,0.00010903426791277316,7.668711656441785e-05,5.9859864341519355e-05
2000-01-11,9.884678747940523e-05,0.00010971786833855912,0.00012326656394453072,0.0001522070015220689,0.00012659431862925064
2000-01-12,4.893964110929794e-05,6.201550387596955e-05,9.13242009132409e-05,7.496251874062887e-05,4.40689226733848e-05
2000-01-13,-9.740259740259827e-05,-0.00013867488443759625,-0.00013574660633484115,-0.00013392857142857095,-0.00010927179930166953
2000-01-14,4.9180327868851846e-05,6.250000000000088e-05,7.645259938837912e-05,9.049773755656076e-05,5.187751355132053e-05
2000-01-18,3.262642740619936e-05,4.6583850931676275e-05,9.104704097116834e-05,8.968609865470877e-05,6.65507193707704e-05
2000-01-19,-4.878048780487809e-05,-1.545595054095794e-05,-4.511278195488799e-05,-2.962962962962945e-05,-4.383605507524868e-05
2000-01-20,1.6339869281045692e-05,4.6439628482972676e-05,7.552870090634434e-05,8.915304606240681e-05,2.9352732409895224e-05
2000-01-21,-1.631321370309968e-05,-1.540832049306551e-05,0.0,0.0,-3.668520730835234e-05
2000-01-24,1.6339869281045692e-05,-7.716049382716194e-05,-0.0001199400299850073,-0.00014727540500736325,-8.088883904404265e-05
2000-01-25,0.0,1.5552099533437945e-05,1.5174506828528056e-05,1.494768310911887e-05,-2.2096056467700853e-05
2000-01-26,3.262642740619936e-05,1.552795031055876e-05,3.0303030303031607e-05,-1.4925373134327957e-05,-6.667018953004977e-05
